source,target,value,groupsource,grouptarget
Napoleon,Myriel,1,1,1
Mlle.Baptistine,Myriel,8,1,1
Mme.Magloire,Myriel,10,1,1
Mme.Magloire,Mlle.Baptistine,6,1,1
CountessdeLo,Myriel,1,1,1
Geborand,Myriel,1,1,1
Champtercier,Myriel,1,1,1
Cravatte,Myriel,1,1,1
Count,Myriel,2,1,1
OldMan,Myriel,1,1,1
Valjean,Labarre,1,2,2
Valjean,Mme.Magloire,3,2,1
Valjean,Mlle.Baptistine,3,2,1
Valjean,Myriel,5,2,1
Marguerite,Valjean,1,3,2
Mme.deR,Valjean,1,2,2
Isabeau,Valjean,1,2,2
Gervais,Valjean,1,2,2
Listolier,Tholomyes,4,3,3
Fameuil,Tholomyes,4,3,3
Fameuil,Listolier,4,3,3
Blacheville,Tholomyes,4,3,3
Blacheville,Listolier,4,3,3
Blacheville,Fameuil,4,3,3
Favourite,Tholomyes,3,3,3
Favourite,Listolier,3,3,3
Favourite,Fameuil,3,3,3
Favourite,Blacheville,4,3,3
Dahlia,Tholomyes,3,3,3
Dahlia,Listolier,3,3,3
Dahlia,Fameuil,3,3,3
Dahlia,Blacheville,3,3,3
Dahlia,Favourite,5,3,3
Zephine,Tholomyes,3,3,3
Zephine,Listolier,3,3,3
Zephine,Fameuil,3,3,3
Zephine,Blacheville,3,3,3
Zephine,Favourite,4,3,3
Zephine,Dahlia,4,3,3
Fantine,Tholomyes,3,3,3
Fantine,Listolier,3,3,3
Fantine,Fameuil,3,3,3
Fantine,Blacheville,3,3,3
Fantine,Favourite,4,3,3
Fantine,Dahlia,4,3,3
Fantine,Zephine,4,3,3
Fantine,Marguerite,2,3,3
Fantine,Valjean,9,3,2
Mme.Thenardier,Fantine,2,4,3
Mme.Thenardier,Valjean,7,4,2
Thenardier,Mme.Thenardier,13,4,4
Thenardier,Fantine,1,4,3
Thenardier,Valjean,12,4,2
Cosette,Mme.Thenardier,4,5,4
Cosette,Valjean,31,5,2
Cosette,Tholomyes,1,5,3
Cosette,Thenardier,1,5,4
Javert,Valjean,17,4,2
Javert,Fantine,5,4,3
Javert,Thenardier,5,4,4
Javert,Mme.Thenardier,1,4,4
Javert,Cosette,1,4,5
Fauchelevent,Valjean,8,0,2
Fauchelevent,Javert,1,0,4
Bamatabois,Fantine,1,2,3
Bamatabois,Javert,1,2,4
Bamatabois,Valjean,2,2,2
Perpetue,Fantine,1,3,3
Simplice,Perpetue,2,2,3
Simplice,Valjean,3,2,2
Simplice,Fantine,2,2,3
Simplice,Javert,1,2,4
Scaufflaire,Valjean,1,2,2
Woman1,Valjean,2,2,2
Woman1,Javert,1,2,4
Judge,Valjean,3,2,2
Judge,Bamatabois,2,2,2
Champmathieu,Valjean,3,2,2
Champmathieu,Judge,3,2,2
Champmathieu,Bamatabois,2,2,2
Brevet,Judge,2,2,2
Brevet,Champmathieu,2,2,2
Brevet,Valjean,2,2,2
Brevet,Bamatabois,1,2,2
Chenildieu,Judge,2,2,2
Chenildieu,Champmathieu,2,2,2
Chenildieu,Brevet,2,2,2
Chenildieu,Valjean,2,2,2
Chenildieu,Bamatabois,1,2,2
Cochepaille,Judge,2,2,2
Cochepaille,Champmathieu,2,2,2
Cochepaille,Brevet,2,2,2
Cochepaille,Chenildieu,2,2,2
Cochepaille,Valjean,2,2,2
Cochepaille,Bamatabois,1,2,2
Pontmercy,Thenardier,1,4,4
Boulatruelle,Thenardier,1,6,4
Eponine,Mme.Thenardier,2,4,4
Eponine,Thenardier,3,4,4
Anzelma,Eponine,2,4,4
Anzelma,Thenardier,2,4,4
Anzelma,Mme.Thenardier,1,4,4
Woman2,Valjean,3,5,2
Woman2,Cosette,1,5,5
Woman2,Javert,1,5,4
MotherInnocent,Fauchelevent,3,0,0
MotherInnocent,Valjean,1,0,2
Gribier,Fauchelevent,2,0,0
Mme.Burgon,Jondrette,1,7,7
Gavroche,Mme.Burgon,2,8,7
Gavroche,Thenardier,1,8,4
Gavroche,Javert,1,8,4
Gavroche,Valjean,1,8,2
Gillenormand,Cosette,3,5,5
Gillenormand,Valjean,2,5,2
Magnon,Gillenormand,1,5,5
Magnon,Mme.Thenardier,1,5,4
Mlle.Gillenormand,Gillenormand,9,5,5
Mlle.Gillenormand,Cosette,2,5,5
Mlle.Gillenormand,Valjean,2,5,2
Mme.Pontmercy,Mlle.Gillenormand,1,5,5
Mme.Pontmercy,Pontmercy,1,5,4
Mlle.Vaubois,Mlle.Gillenormand,1,5,5
Lt.Gillenormand,Mlle.Gillenormand,2,5,5
Lt.Gillenormand,Gillenormand,1,5,5
Lt.Gillenormand,Cosette,1,5,5
Marius,Mlle.Gillenormand,6,8,5
Marius,Gillenormand,12,8,5
Marius,Pontmercy,1,8,4
Marius,Lt.Gillenormand,1,8,5
Marius,Cosette,21,8,5
Marius,Valjean,19,8,2
Marius,Tholomyes,1,8,3
Marius,Thenardier,2,8,4
Marius,Eponine,5,8,4
Marius,Gavroche,4,8,8
BaronessT,Gillenormand,1,5,5
BaronessT,Marius,1,5,8
Mabeuf,Marius,1,8,8
Mabeuf,Eponine,1,8,4
Mabeuf,Gavroche,1,8,8
Enjolras,Marius,7,8,8
Enjolras,Gavroche,7,8,8
Enjolras,Javert,6,8,4
Enjolras,Mabeuf,1,8,8
Enjolras,Valjean,4,8,2
Combeferre,Enjolras,15,8,8
Combeferre,Marius,5,8,8
Combeferre,Gavroche,6,8,8
Combeferre,Mabeuf,2,8,8
Prouvaire,Gavroche,1,8,8
Prouvaire,Enjolras,4,8,8
Prouvaire,Combeferre,2,8,8
Feuilly,Gavroche,2,8,8
Feuilly,Enjolras,6,8,8
Feuilly,Prouvaire,2,8,8
Feuilly,Combeferre,5,8,8
Feuilly,Mabeuf,1,8,8
Feuilly,Marius,1,8,8
Courfeyrac,Marius,9,8,8
Courfeyrac,Enjolras,17,8,8
Courfeyrac,Combeferre,13,8,8
Courfeyrac,Gavroche,7,8,8
Courfeyrac,Mabeuf,2,8,8
Courfeyrac,Eponine,1,8,4
Courfeyrac,Feuilly,6,8,8
Courfeyrac,Prouvaire,3,8,8
Bahorel,Combeferre,5,8,8
Bahorel,Gavroche,5,8,8
Bahorel,Courfeyrac,6,8,8
Bahorel,Mabeuf,2,8,8
Bahorel,Enjolras,4,8,8
Bahorel,Feuilly,3,8,8
Bahorel,Prouvaire,2,8,8
Bahorel,Marius,1,8,8
Bossuet,Marius,5,8,8
Bossuet,Courfeyrac,12,8,8
Bossuet,Gavroche,5,8,8
Bossuet,Bahorel,4,8,8
Bossuet,Enjolras,10,8,8
Bossuet,Feuilly,6,8,8
Bossuet,Prouvaire,2,8,8
Bossuet,Combeferre,9,8,8
Bossuet,Mabeuf,1,8,8
Bossuet,Valjean,1,8,2
Joly,Bahorel,5,8,8
Joly,Bossuet,7,8,8
Joly,Gavroche,3,8,8
Joly,Courfeyrac,5,8,8
Joly,Enjolras,5,8,8
Joly,Feuilly,5,8,8
Joly,Prouvaire,2,8,8
Joly,Combeferre,5,8,8
Joly,Mabeuf,1,8,8
Joly,Marius,2,8,8
Grantaire,Bossuet,3,8,8
Grantaire,Enjolras,3,8,8
Grantaire,Combeferre,1,8,8
Grantaire,Courfeyrac,2,8,8
Grantaire,Joly,2,8,8
Grantaire,Gavroche,1,8,8
Grantaire,Bahorel,1,8,8
Grantaire,Feuilly,1,8,8
Grantaire,Prouvaire,1,8,8
MotherPlutarch,Mabeuf,3,9,8
Gueulemer,Thenardier,5,4,4
Gueulemer,Valjean,1,4,2
Gueulemer,Mme.Thenardier,1,4,4
Gueulemer,Javert,1,4,4
Gueulemer,Gavroche,1,4,8
Gueulemer,Eponine,1,4,4
Babet,Thenardier,6,4,4
Babet,Gueulemer,6,4,4
Babet,Valjean,1,4,2
Babet,Mme.Thenardier,1,4,4
Babet,Javert,2,4,4
Babet,Gavroche,1,4,8
Babet,Eponine,1,4,4
Claquesous,Thenardier,4,4,4
Claquesous,Babet,4,4,4
Claquesous,Gueulemer,4,4,4
Claquesous,Valjean,1,4,2
Claquesous,Mme.Thenardier,1,4,4
Claquesous,Javert,1,4,4
Claquesous,Eponine,1,4,4
Claquesous,Enjolras,1,4,8
Montparnasse,Javert,1,4,4
Montparnasse,Babet,2,4,4
Montparnasse,Gueulemer,2,4,4
Montparnasse,Claquesous,2,4,4
Montparnasse,Valjean,1,4,2
Montparnasse,Gavroche,1,4,8
Montparnasse,Eponine,1,4,4
Montparnasse,Thenardier,1,4,4
Toussaint,Cosette,2,5,5
Toussaint,Javert,1,5,4
Toussaint,Valjean,1,5,2
Child1,Gavroche,2,10,8
Child2,Gavroche,2,10,8
Child2,Child1,3,10,10
Brujon,Babet,3,4,4
Brujon,Gueulemer,3,4,4
Brujon,Thenardier,3,4,4
Brujon,Gavroche,1,4,8
Brujon,Eponine,1,4,4
Brujon,Claquesous,1,4,4
Brujon,Montparnasse,1,4,4
Mme.Hucheloup,Bossuet,1,8,8
Mme.Hucheloup,Joly,1,8,8
Mme.Hucheloup,Grantaire,1,8,8
Mme.Hucheloup,Bahorel,1,8,8
Mme.Hucheloup,Courfeyrac,1,8,8
Mme.Hucheloup,Gavroche,1,8,8
Mme.Hucheloup,Enjolras,1,8,8